Outlet_ID,status,orig_lat,orig_lon
OUT_00001,valid,7.089846,79.979055
OUT_00002,valid,7.000558,80.012422
OUT_00003,valid,6.80617,79.854547
OUT_00004,valid,6.703533,79.806919
OUT_00005,valid,7.186878,79.869831
OUT_00006,valid,6.957117,79.977724
OUT_00007,valid,6.92525,79.803979
OUT_00008,valid,6.852307,79.829302
OUT_00009,valid,7.116597,79.852009
OUT_00010,valid,6.912578,79.862382
OUT_00011,valid,7.169749,80.068448
OUT_00012,valid,6.797991,79.813568
OUT_00013,valid,6.993376,80.089577
OUT_00014,valid,6.707818,79.92702
OUT_00015,valid,6.799421,80.013403
OUT_00016,valid,6.879233,79.834761
OUT_00017,valid,6.747705,79.911245
OUT_00018,valid,7.143606,79.941664
OUT_00019,valid,7.060865,79.870795
OUT_00020,valid,6.755445,79.931801
OUT_00021,valid,6.981638,80.008655
OUT_00022,valid,6.801531,80.082856
OUT_00023,valid,7.012177,79.88869
OUT_00024,valid,6.793285,80.067768
OUT_00025,valid,6.859002,79.833016
OUT_00026,valid,6.876284,79.891434
OUT_00027,valid,6.811054,79.83596
OUT_00028,valid,6.901918,79.819468
OUT_00029,valid,6.948624,79.890263
OUT_00030,swapped_fixed,79.923311,7.188307
OUT_00031,valid,7.040353,79.95928
OUT_00032,valid,7.036068,80.028486
OUT_00033,valid,7.016153,79.990059
OUT_00034,valid,6.775359,79.95246
OUT_00035,valid,6.810121,80.013345
OUT_00036,valid,7.170262,79.919272
OUT_00037,valid,6.870533,79.834042
OUT_00038,valid,6.814275,79.852486
OUT_00039,valid,7.198127,80.089626
OUT_00040,valid,6.869515,79.904763
OUT_00041,valid,7.021016,79.825242
OUT_00042,valid,6.886141,80.08204
OUT_00043,valid,6.942807,79.934527
OUT_00044,valid,6.946947,79.853647
OUT_00045,valid,6.97127,79.952644
OUT_00046,valid,7.189446,79.946023
OUT_00047,valid,6.988452,79.947755
OUT_00048,valid,6.712158,79.993642
OUT_00049,valid,6.83978,80.065048
OUT_00050,valid,6.976382,79.971688
OUT_00051,valid,6.834237,79.945584
OUT_00052,valid,7.048015,79.971018
OUT_00053,valid,6.770042,79.955499
OUT_00054,valid,7.051242,79.907847
OUT_00055,valid,7.133536,80.073972
OUT_00056,valid,7.024982,80.01059
