Outlet_ID,coord_status,outlet_size,size_score,outlet_type,cooler_count,is_grocery,is_hotel,is_pharmacy,is_kiosk,is_eatery,is_bakery,is_smmt,seasonality_jan2026_label,seasonality_jan2026_score,avg_jan_holidays,count_education_1km,count_education_3km,nearest_education_m,count_health_1km,count_health_3km,nearest_health_m,count_transport_1km,count_transport_3km,nearest_transport_m,count_market_1km,count_market_3km,nearest_market_m,count_tourism_1km,count_tourism_3km,nearest_tourism_m,count_food_1km,count_food_3km,nearest_food_m,count_worship_1km,count_worship_3km,nearest_worship_m,lat,lon,generated_at
OUT_00001,valid,Medium,2,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,1,13,371.3,0,2,2492.4,1,3,536.9,0,0,4268.8,0,0,3215.4,0,10,1427.9,0,17,1073.2,7.089846,79.979055,2026-05-16T15:57:02+00:00
OUT_00002,valid,Small,1,Hotel,0,0,1,0,0,0,0,0,Moderate,1,2.3,1,10,948.7,0,3,1562.5,0,8,1604.0,0,2,1396.4,0,2,1144.9,1,8,808.4,4,31,259.8,7.000558,80.012422,2026-05-16T15:57:02+00:00
OUT_00003,valid,Small,1,Pharmacy,1,0,0,1,0,0,0,0,Moderate,1,2.3,2,10,549.3,0,3,1771.7,0,4,2621.7,0,4,1170.9,0,0,4905.7,4,7,286.3,3,29,523.9,6.80617,79.854547,2026-05-16T15:57:02+00:00
OUT_00004,valid,Medium,2,Pharmacy,2,0,0,1,0,0,0,0,Moderate,1,2.3,0,9,1119.2,0,2,1589.4,1,9,451.0,0,2,2562.8,0,1,1930.8,2,6,593.1,2,19,576.2,6.703533,79.806919,2026-05-16T15:57:02+00:00
OUT_00005,valid,Medium,2,Kiosk,2,0,0,0,1,0,0,0,Moderate,1,2.3,0,15,1168.1,1,2,176.5,1,5,750.8,1,3,449.8,1,1,969.7,0,4,2158.8,4,21,444.1,7.186878,79.869831,2026-05-16T15:57:02+00:00
OUT_00006,valid,Medium,2,Kiosk,1,0,0,0,1,0,0,0,Moderate,1,2.3,2,11,554.7,0,4,2403.2,0,6,1891.1,1,5,658.0,0,0,3420.2,1,3,922.0,1,31,195.2,6.957117,79.977724,2026-05-16T15:57:02+00:00
OUT_00007,valid,Large,3,Hotel,4,0,1,0,0,0,0,0,Moderate,1,2.3,1,13,874.9,0,2,2257.5,1,12,551.5,0,3,2334.3,0,1,2655.7,0,6,1102.8,3,24,67.4,6.92525,79.803979,2026-05-16T15:57:02+00:00
OUT_00008,valid,Extra Large,4,Eatery,3,0,0,0,0,1,0,0,Moderate,1,2.3,1,10,896.9,0,3,2455.9,0,14,1478.3,2,3,674.4,0,2,1132.2,1,7,659.3,4,26,517.3,6.852307,79.829302,2026-05-16T15:57:02+00:00
OUT_00009,valid,Medium,2,Hotel,2,0,1,0,0,0,0,0,Moderate,1,2.3,1,17,286.3,0,3,1525.5,0,9,1573.8,0,2,2022.7,0,0,5716.1,0,2,2190.1,3,22,392.0,7.116597,79.852009,2026-05-16T15:57:02+00:00
OUT_00010,valid,Small,1,Eatery,0,0,0,0,0,1,0,0,Moderate,1,2.3,1,11,438.0,1,7,339.8,0,9,1024.8,0,2,2489.4,0,0,4494.1,1,7,580.8,1,22,824.6,6.912578,79.862382,2026-05-16T15:57:02+00:00
OUT_00011,valid,Small,1,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,1,9,846.3,1,4,908.3,0,7,1905.4,1,4,478.8,0,2,1808.7,0,7,1393.2,1,15,845.0,7.169749,80.068448,2026-05-16T15:57:02+00:00
OUT_00012,valid,Medium,2,Pharmacy,1,0,0,1,0,0,0,0,Moderate,1,2.3,1,11,766.7,0,5,1771.6,0,9,1452.4,0,1,1190.2,0,0,4416.2,0,2,1390.1,6,25,564.6,6.797991,79.813568,2026-05-16T15:57:02+00:00
OUT_00013,valid,Small,1,Hotel,0,0,1,0,0,0,0,0,Moderate,1,2.3,1,13,236.6,0,1,2729.8,3,10,331.4,0,2,1811.1,0,1,2584.2,2,9,351.0,3,26,733.0,6.993376,80.089577,2026-05-16T15:57:02+00:00
OUT_00014,valid,Small,1,Grocery,1,1,0,0,0,0,0,0,Moderate,1,2.3,1,11,474.2,0,1,1923.3,1,8,502.3,0,4,1684.0,0,0,4517.1,0,9,1375.2,3,23,182.8,6.707818,79.92702,2026-05-16T15:57:02+00:00
