Outlet_ID,n_months,mean_monthly_vol,std_monthly_vol,max_monthly_vol,p90_monthly_vol,p75_monthly_vol,jan_avg_vol,n_jan_months,recent_3m_avg,trend_slope,has_dec2025,n_skus,primary_distributor
OUT_19886,17,37.3653,20.369,85.8834,60.8765,49.9613,26.2689,1,37.3653,-0.704355,0,10,DIST_S_02
OUT_00837,32,528.447,192.0571,932.8038,786.8209,619.0354,585.6921,3,608.4705,0.796766,0,10,DIST_W_01
OUT_15438,23,156.2863,59.8468,298.2857,211.8926,195.5679,157.5293,2,145.0999,1.103242,1,10,DIST_NW_01
OUT_12992,28,122.4328,77.4227,284.1502,229.0945,171.9434,167.9571,2,94.5737,1.189235,1,10,DIST_C_01
OUT_12334,33,1444.4575,236.1026,1931.053,1849.4241,1413.9713,1281.2926,2,1504.9156,3.6918,1,10,DIST_C_02
OUT_06622,17,41.8949,32.8948,114.0121,88.2832,71.3964,25.2267,1,65.7117,0.86434,1,10,DIST_W_02
OUT_06220,14,45.6313,32.8311,110.3337,94.5606,72.3487,0.0,0,45.6313,0.347721,0,10,DIST_W_01
OUT_18281,25,126.5374,86.6502,303.8462,272.2104,172.8264,238.4801,3,184.995,0.268054,1,10,DIST_S_02
OUT_15347,21,36.8257,36.3026,143.7902,83.3565,40.9339,20.5346,2,40.9339,-1.514833,0,10,DIST_NW_02
OUT_17437,34,1451.4641,394.4255,2067.8737,1970.9584,1876.2037,1865.902,3,1652.1654,-2.169063,1,10,DIST_S_01
OUT_18383,34,598.9816,243.7578,986.7339,913.8528,822.6355,865.1993,3,725.0898,1.23226,1,10,DIST_S_01
OUT_13279,21,138.3516,67.6132,281.2038,215.879,184.3438,208.0017,1,137.8811,-2.000269,0,10,DIST_NW_02
OUT_07125,19,37.1563,37.6235,139.4599,97.5697,48.7136,29.9979,2,75.4084,-0.890278,0,10,DIST_W_01
OUT_05961,20,35.9502,31.7322,99.3171,86.2639,55.5919,77.339,1,26.6509,-1.045425,0,10,DIST_W_03
OUT_13706,25,37.765,27.268,88.3191,76.9146,62.6033,24.0908,1,52.3409,0.270439,0,10,DIST_NW_01
OUT_15951,33,1378.8215,197.32,1944.2571,1793.8264,1351.4729,1265.6479,3,1503.5984,0.09207,1,10,DIST_NW_01
OUT_06636,21,33.5775,32.5516,143.3279,79.6737,39.3681,15.0944,1,25.6541,-0.075084,1,10,DIST_W_03
