cluster_id,n_members,cluster_ceiling_L,pred_mean_L,pred_min_L,pred_max_L
0,373,281.85,302.04,140.92,615.15
1,430,263.41,286.47,131.7,716.97
2,357,153.01,176.68,76.5,523.23
3,383,347.2,383.82,173.6,727.99
4,294,328.14,350.86,164.07,685.84
5,433,145.88,166.08,72.94,663.25
6,444,144.54,160.06,72.27,349.61
7,390,170.45,198.77,85.22,579.11
8,312,1007.86,1089.74,846.48,2057.0
9,505,357.97,395.62,226.77,1648.44
10,424,289.88,292.95,144.94,635.53
11,462,2103.93,2177.18,1908.77,11480.78
12,555,152.34,175.03,76.17,644.09
13,411,347.69,390.19,200.68,721.0
14,492,147.23,166.7,73.62,458.79
15,515,352.57,393.13,229.84,707.76
16,449,351.38,391.43,175.69,702.76
17,394,162.51,197.22,81.26,570.34
18,413,148.81,167.17,74.4,550.54
19,225,997.31,1025.57,735.77,1399.56
20,485,352.12,395.29,208.21,1106.66
21,352,169.13,196.01,84.56,561.88
22,340,1004.0,1057.29,803.02,1805.94
23,430,343.96,370.14,171.98,884.5
24,324,995.98,1056.49,830.49,1708.69
25,409,150.46,167.12,76.35,336.67
26,420,149.85,172.82,74.93,579.37
27,344,349.58,382.59,174.79,870.0
28,408,349.88,388.09,174.94,725.03
29,459,143.1,163.96,80.63,352.27
30,436,352.3,382.99,211.57,705.25
31,466,290.4,308.44,145.2,895.82
32,368,1003.27,1059.88,793.57,1865.82
33,392,311.87,336.35,155.94,691.79
34,425,143.99,167.64,73.43,540.78
35,436,163.84,192.5,84.57,570.21
36,104,144.76,165.48,81.9,289.52
37,463,319.16,338.36,159.58,654.35
38,392,1008.75,1064.2,812.75,1628.18
39,336,1001.52,1066.42,835.63,1681.5
40,519,148.43,171.45,74.21,543.3
41,290,1010.59,1072.19,798.3,1758.12
42,316,1001.15,1063.76,830.07,1804.06
43,416,350.37,394.99,225.14,964.37
44,453,2095.91,2132.05,1886.79,3146.03
45,397,318.03,326.63,159.02,680.71
46,432,162.01,188.39,81.01,706.34
47,352,162.26,188.17,82.82,405.76
48,455,143.1,158.24,71.55,361.53
49,320,1002.44,1059.78,826.36,1986.96
