Outlet_ID,legacy_education_1km,legacy_education_3km,decay_education,legacy_health_1km,legacy_health_3km,decay_health,legacy_transport_1km,legacy_transport_3km,decay_transport,legacy_market_1km,legacy_market_3km,decay_market,legacy_tourism_1km,legacy_tourism_3km,decay_tourism,legacy_food_1km,legacy_food_3km,decay_food,legacy_worship_1km,legacy_worship_3km,decay_worship,competitors_1km,decay_total
OUT_00001,1,13,1.1827,0,2,0.0124,1,3,0.2024,0,0,0.0008,0,0,0.0035,0,10,0.0467,0,17,1.122,15,2.5705
OUT_00002,1,10,0.6442,0,3,0.0566,0,8,0.0252,0,2,0.0762,0,2,0.1134,1,8,0.1486,4,31,3.6835,24,4.7476
OUT_00003,2,10,1.6123,0,3,0.0435,0,4,0.0013,0,4,0.1823,0,0,0.0001,4,7,1.1843,3,29,2.4111,13,5.4349
OUT_00004,0,9,0.6428,0,2,0.046,1,9,0.3144,0,2,0.0096,0,1,0.0212,2,6,0.3156,2,19,2.2107,7,3.5604
OUT_00005,0,15,0.8695,1,2,0.7083,1,5,0.144,1,3,0.4664,1,1,0.1445,0,4,0.0032,4,21,2.6893,17,5.0253
OUT_00006,2,11,1.6049,0,4,0.024,0,6,0.0098,1,5,0.3338,0,0,0.0021,1,3,0.0653,1,31,2.2821,17,4.322
OUT_00007,1,13,0.929,0,2,0.0253,1,12,0.2215,0,3,0.0183,0,1,0.0052,0,6,0.0537,3,24,2.9851,9,4.2381
OUT_00008,1,10,0.8422,0,3,0.0184,0,14,0.0237,2,3,0.4648,0,2,0.113,1,7,0.161,4,26,2.8827,17,4.5058
OUT_00009,1,17,1.6043,0,3,0.0754,0,9,0.026,0,2,0.0231,0,0,0.0,0,2,0.0029,3,22,2.4677,18,4.1994
OUT_00010,1,11,1.0049,1,7,0.6167,0,9,0.0639,0,2,0.0141,0,0,0.0002,1,7,0.2006,1,22,1.7265,21,3.6269
OUT_00011,1,9,0.7368,1,4,0.192,0,7,0.006,1,4,0.3962,0,2,0.0386,0,7,0.027,1,15,1.244,13,2.6405
OUT_00012,1,11,1.0511,0,5,0.0517,0,9,0.0194,0,1,0.0941,0,0,0.0001,0,2,0.0162,6,25,3.4412,16,4.6739
OUT_00013,1,13,1.3753,0,1,0.007,3,10,0.697,0,2,0.0316,0,1,0.0059,2,9,0.5665,3,26,2.1114,9,4.7948
OUT_00014,1,11,1.0592,0,1,0.0249,1,8,0.2755,0,4,0.0576,0,0,0.0001,0,9,0.0525,3,23,3.6808,9,5.1506
OUT_00015,1,12,0.9346,1,3,0.2269,2,12,0.2415,1,1,0.3559,0,0,0.0002,0,4,0.007,2,20,2.2219,12,3.9881
OUT_00016,2,11,1.2127,0,2,0.1068,0,8,0.0786,0,3,0.0448,0,1,0.0104,0,5,0.024,4,22,2.7507,27,4.2281
OUT_00017,0,11,0.9507,0,0,0.0019,0,5,0.0379,0,3,0.0368,0,0,0.0008,0,8,0.024,4,21,3.151,15,4.2032
OUT_00018,1,15,1.7848,0,0,0.0012,2,6,0.2735,0,3,0.0297,0,0,0.0009,0,3,0.026,2,14,1.3896,15,3.5056
OUT_00019,0,10,0.6372,0,2,0.0271,5,12,0.8645,0,2,0.0785,0,1,0.0594,0,4,0.0135,5,20,2.2347,16,3.915
