Date,Holiday_Name,Holiday_Type,failure_reason
2023-01-06T00:00:00Z,Duruthu Full Moon Poya Day,Poya Day,pk_duplicate
2023-02-05T00:00:00Z,Navam Full Moon Poya Day,Poya Day,pk_duplicate
2024-03-24T00:00:00Z,Medin Full Moon Poya Day,Poya Day,pk_duplicate
2023-03-06T00:00:00Z,Medin Full Moon Poya Day,Poya Day,pk_duplicate
2023-04-05T00:00:00Z,Bak Full Moon Poya Day,Poya Day,pk_duplicate
2023-05-05T00:00:00Z,Vesak Full Moon Poya Day,Poya Day,pk_duplicate
2023-06-03T00:00:00Z,Poson Full Moon Poya Day,Poya Day,pk_duplicate
2023-07-03T00:00:00Z,Adi Esala Full Moon Poya Day,Poya Day,pk_duplicate
2023-08-01T00:00:00Z,Esala Full Moon Poya Day,Poya Day,pk_duplicate
2023-08-30T00:00:00Z,Nikini Full Moon Poya Day,Poya Day,pk_duplicate
2023-09-29T00:00:00Z,Binara Full Moon Poya Day,Poya Day,pk_duplicate
2023-10-28T00:00:00Z,Vap Full Moon Poya Day,Poya Day,pk_duplicate
2023-11-26T00:00:00Z,Il Full Moon Poya Day,Poya Day,pk_duplicate
2023-12-26T00:00:00Z,Unduvap Full Moon Poya Day,Poya Day,pk_duplicate
2023-01-06T00:00:00Z,Duruthu Full Moon Poya Day,Bank,pk_duplicate
2023-01-15T00:00:00Z,Tamil Thai Pongal Day,Bank,pk_duplicate
2023-01-16T00:00:00Z,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Bank,pk_duplicate
2023-02-03T00:00:00Z,Additional Half Holiday in lieu of the Independence Day  falling on Saturday,Bank,pk_duplicate
2023-02-04T00:00:00Z,National Day,Bank,pk_duplicate
2023-02-05T00:00:00Z,Navam Full Moon Poya Day,Bank,pk_duplicate
2024-03-24T00:00:00Z,Medin Full Moon Poya Day,Bank,pk_duplicate
2023-03-06T00:00:00Z,Medin Full Moon Poya Day,Bank,pk_duplicate
2023-04-05T00:00:00Z,Bak Full Moon Poya Day,Bank,pk_duplicate
